Title2,Title3,,,,,,,,,,,,,,,,,
Total Recreation Visits for Nov 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
Nov-19,Nov-20,YTD 2019,YTD 2020,,,,,,,,, Total,"19,269,040","17,424,634","-1,844,406","311,951,378","244,333,321","-67,618,057"
